src,rel,dst,src_label,dst_label,row_id
194,roll,195,pipe coupons,trailer,204
189,make,196,truck,turn,205
6,save,7,life,rules,206
116,find,199,they,nut puller pipe,207
200,,201,transitions pipes,device,208
118,loosen,58,operator,nut,209
118,find,202,operator,metal pins,210
6,save,7,life,rules,211
203,contact,204,shepherd offshore,site,212
205,,206,lady,stop sign,213
6,save,7,life,rules,214
83,cause,1,damage,rov,215
207,,208,painel,x que,216
209,colidido,210,que rov tenha,jumper sem perceber quebra,217
211,tenha,210,receptáculo estacionamento,jumper sem perceber quebra,218
211,,210,receptáculo estacionamento,jumper sem perceber quebra,219
6,save,7,life,rules,220
212,shut,213,safety system,1g manlift,221
212,activate,213,safety system,1g manlift,222
6,save,7,life,rules,223
185,strike,214,fork,wall,224
3,occur,27,activity,less,225
6,save,7,life,rules,226
25,transit,215,ip,deck a,227
93,descend,26,he,stairs,228
25,lose,216,ip,footing,229
25,attend,217,ip,vessel medic,230
218,informado,219,reevaluation hse e cliente,médico da embarcao,231
220,involve,81,dia de fevereiro incident,injury,232
220,,82,dia de fevereiro incident,potential,233
221,involve,83,no incident,damage,234
222,plan,223,no,controls,235
25,hold,224,ip,handrail,236
26,inspect,225,stairs,safety officer,237
6,save,7,life,rules,238
226,movimentao,227,durante,be hoisting beam be,239
228,contido,229,que foi,convés,240
230,pipelay,231,equipe,acionada para,241
232,identify,233,deck crew,drip,242
6,save,7,life,rules,243
234,develop,235,group,tasks,244
236,perform,237,compaer,manipulation,245
50,put,238,technician,fingers,246
3,occur,4,activity,remote,247
6,save,7,life,rules,248
239,strike,240,company vehicle ld5571,deer,249
239,strike,240,company vehicle ld5571,deer,250
6,save,7,life,rules,251
241,assess,242,x - ray result,doctor,252
6,save,7,life,rules,253
105,halt,243,team,task,254
105,hear,12,team,noise,255
105,inspect,244,team,surrounding,256
116,find,245,they,plate stopper,257
3,occur,4,activity,remote,258
6,save,7,life,rules,259
246,move,247,i,myself,260
248,access,249,others,monitors,261
6,save,7,life,rules,262
143,complete,250,vessel,site cleanup,263
251,reach,252,ucon basket,splash zone,264
253,begin,254,crane operator,bringing it onboard,265
251,,255,ucon basket,contact,266
6,save,7,life,rules,267
256,,257,universal,eixo cardam,268
258,na_estrutura,259,estava em contato,da caixa,269
260,precisar,261,no teria como,voltagem,270
222,teve,262,no,nenhumaconsequência grave,271
46,perform,3,employee,activity,272
46,lean,263,employee,arm,273
30,give,264,that,energy leak,274
46,require,265,employee,outpatient care,275
46,,266,employee,consequences,276
