SYSTEM_OF_RECORD,RISK_COLOR_coverage_pct,MITIGATED_RISK_coverage_pct,LOSS_POTENTIAL_SEVERITY_coverage_pct,DATE_OF_CLOSURE_coverage_pct,DUE_DATE_coverage_pct,WORKPLACE_coverage_pct
Intelex,100.0,74.02373989334251,95.88852571821779,90.88250473077585,99.4667125408567,100.0
Synergi,0.0,0.0,98.75985826951651,0.0,98.85701222996914,100.0
