DATE_REPORTED,count
10/31/2020,59
12/17/2021,58
12/27/2017,51
9/19/2016,42
9/12/2016,41
12/2/2019,38
11/17/2016,36
8/29/2017,36
12/29/2017,35
10/21/2016,35
11/28/2016,34
1/10/2017,34
12/28/2017,33
7/6/2020,33
9/5/2016,33
12/7/2021,32
2/20/2017,31
8/31/2016,31
4/24/2017,31
10/1/2019,30
1/8/2020,29
3/9/2018,29
9/28/2020,29
9/12/2018,28
4/10/2019,28
4/4/2017,28
10/21/2019,27
2/23/2017,27
3/28/2017,27
5/17/2018,27
